,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
60312,1041608,2,0.89,0.3,0.2,1.7,16.27429937058984,9.841750498260767,12.721524780522218,4655.857936482068,3.699628476944492,2.2035621490490134,0.1803905123521885,39.13131069422538,0.0005838504845143567,0.00018003180038667074,0.028686566783546162,-1.6345275151249885e-05,1.6345275151249885e-05
64529,5673503,1,0.8,0.3,0.45,2.5,23.761525261263536,5.906102073876094,25.242191057050892,5013.625717953592,4.4179212045456415,0.9151042306870228,0.3342859471087631,139.15241596686712,0.0004478976832114635,0.00253470165588493,0.05101273105588661,3.9573147962841234e-05,3.9573147962841234e-05
53612,7794670,2,0.86,0.32,0.3,2.5,16.747134874090992,9.291778155729698,13.365133646732385,5243.8901131467655,4.0238641858202095,1.4918309692666676,0.2580434560327444,69.51933410682192,0.0013480862994017426,0.0005016501088108694,0.036114247900936716,1.0436740811758816e-05,1.0436740811758816e-05
74367,5688706,2,1.14,0.3,-0.1,1.7,4.479138530942898,9.407853585373342,3.5197998888972526,5416.463042045323,3.7063521044617658,2.4756786674512883,-0.1244178539828429,37.8681263595301,0.001113695667493709,0.00033353455697010537,0.014377341048509497,8.462888271717982e-06,8.462888271717982e-06
4552,6376589,1,1.05,0.32,-0.1,2.3,2.616970681052232,3.06753663156656,3.938382011681601,6398.737670023854,4.271418467648084,1.2411666351091508,-0.31832659552119,99.26042394429331,0.0004185853819848965,0.0034000844221105664,0.014377341048509497,0.00016790737250447937,0.00016790737250447937
93341,7103064,1,1.13,0.26,0.3,1.9,5.188282043820265,3.1434191699218887,7.314957969619348,5690.811395072012,4.337176605131519,1.1937011049812822,0.23093093755897226,111.25172385222108,0.0001252530307045215,0.0013995822110003384,0.036114247900936716,9.61535809239584e-05,9.61535809239584e-05
55645,3649721,1,1.17,0.3,0.0,1.9,2.3700503855790562,3.278929583398121,3.5719040131456614,6290.258857544628,4.184611741628892,1.4478772250615697,-0.34305567947160304,82.82494429629398,0.0006762178106216424,0.004246001467062277,0.0181,-0.0004768189816765278,0.0004768189816765278
4891,6636569,1,1.13,0.24,0.4,2.5,2.54653188424457,1.5379464487065893,9.923222014223832,5515.564948958063,4.514501373619361,0.9732697192357068,0.3782461373665135,150.1187178195471,0.00018671298681747868,0.002170200545169934,0.045465144410323406,0.00016716802279691711,0.00016716802279691711
99268,7711924,1,0.83,0.28,0.25,2.5,11.478345855075627,2.8551288923043403,20.579139258934585,5091.657124053453,4.534218347226099,0.8154072138046093,0.17820013215094496,167.92222712962982,0.00028991486079150985,0.002231069646941836,0.0321868573217045,-4.3105019067994316e-05,4.3105019067994316e-05
3178,8371885,1,1.195,0.29,0.25,2.0,3.160415573955078,3.1892009703830793,4.8247352236016985,6034.2936143942115,4.254521922362275,1.3501053809015404,0.14621945366624908,94.98758948073905,0.0003979746156403753,0.0032312613341336505,0.0321868573217045,5.07933764134219e-05,5.07933764134219e-05
78906,8326659,2,1.195,0.31,-0.25,2.2,2.458763962078211,6.2763914762035276,2.3995179138563976,6927.541991028523,4.027032986869377,1.754149753224864,-0.4971474779647389,59.87018589663565,0.0005939141203173959,0.0005811965128755814,0.01017837798594532,-9.714006953987483e-05,9.714006953987483e-05
33142,2258858,2,1.18,0.24,0.1,2.3,7.916132667395183,9.990183649341846,5.918331009796471,5007.296579566166,3.603373724949953,2.835349432402817,0.09613657272173673,30.619337423084158,0.0005051316156618245,0.00019428070259974728,0.02278654995347443,2.8105367308852282e-05,2.8105367308852282e-05
56968,7005446,1,1.05,0.3,-0.4,2.5,2.8060355107185764,3.889888525822958,3.392248237214765,6677.429653209193,4.227761324709468,1.305144699331122,-0.7928422803326978,89.50923394787466,0.00014361270693277167,0.0011048559019143922,0.0072057397870183,-0.0001619745263288568,0.0001619745263288568
42050,3265448,2,1.11,0.24,-0.3,2.1,5.526060282679052,7.309637439482853,4.654175306820731,6174.851116050044,4.017919081022525,1.7070108077800268,-0.3998051393755321,64.10880823026294,0.000966493508726844,0.0022752898170088627,0.009071488928653629,2.661747369786363e-05,2.661747369786363e-05
15836,5102567,1,0.87,0.32,-0.2,1.9,5.406460014321032,3.660187320379847,7.322719817451682,5990.789758017754,4.33572121248125,1.049164764748831,-0.34739063400883863,117.43846477329508,0.0002501233642990138,0.002073266366353632,0.011420327935091498,-5.9608800491238334e-05,5.9608800491238334e-05
42316,7418958,2,1.08,0.3,0.45,1.9,10.160402863503476,8.71433320549914,8.02843745381178,5274.863037771043,4.006071935187005,1.7070052036090153,0.4053132526622653,64.21676079128332,0.0012749408730977606,0.0010791474713201519,0.05101273105588661,-0.0002919011879810903,0.0002919011879810903
69646,7839773,2,1.18,0.24,0.35,1.7,10.66545086785654,9.026971425767952,7.84857361787909,5019.727644233938,3.936154462006816,1.9331507632082758,0.319902601435993,55.85685935421121,0.0011068171302790009,0.0005074614899092666,0.04052085260808695,8.925322913343389e-05,8.925322913343389e-05
93611,73658,2,1.1,0.32,0.1,1.7,5.245976902069616,8.95691645149996,4.192050782178463,5530.261901229326,3.80253530036526,2.177344550800156,0.05777625388708407,45.20722919744238,0.0012217704895979484,0.0006327636419286575,0.02278654995347443,-0.00020598487549350821,0.00020598487549350821
68711,2916760,3,0.81,0.28,0.5,2.5,36.162279374803354,9.67199126330745,30.530507515636234,4649.124458583296,3.9340870654399596,1.6054655542440421,0.4546811805532313,60.200774446130296,0.0004985950774553541,0.00013087136605022254,0.05723722564904767,0.0001343358928638639,0.0001343358928638639
81754,6897388,1,1.03,0.28,-0.4,1.7,3.7015586093511854,4.3080547959484425,4.30989837305392,6299.651279592653,4.17836559224035,1.368265631629822,-0.8732933291481344,83.52736557165669,0.00034680100161330936,0.003187546268381025,0.0072057397870183,-9.527342604172381e-05,9.527342604172381e-05
77768,8534489,2,1.155,0.27,0.05,2.0,6.026572892244363,8.737520888551451,4.82944990230336,5668.22493538048,3.8842581385191113,2.030891513133569,0.005404988357063836,51.26480711000819,0.0013155597896017544,0.0009239031639327043,0.02030853402286554,-3.47707689978096e-05,3.47707689978096e-05
97686,8050409,2,1.035,0.29,0.35,1.8,11.726234514389686,9.111786697066321,8.747634838662448,5070.303065262467,3.9517381781304963,1.7782298015768263,0.3166133607927621,59.04649329292792,0.00114803008039635,0.0004973393943219495,0.04052085260808695,-7.333126533691458e-05,7.333126533691458e-05
81857,7950761,1,1.2,0.28,-0.1,2.1,2.628482114355079,3.904150369178475,3.438985839762044,6365.042961476887,4.158520039140703,1.5110376309387121,-0.4206526735893402,78.61024443304491,0.000589249772137598,0.0028997853097094684,0.014377341048509497,-0.00025439631839867797,0.00025439631839867797
32359,3911751,1,0.88,0.28,0.45,1.7,12.138146214658336,2.844003323223462,21.55666099814886,4793.994802686832,4.475423772813281,0.8984090671571601,0.37431794061255774,150.12192829382514,0.00024586865191413893,0.0022448940012542995,0.05101273105588661,-5.452974589835036e-05,5.452974589835036e-05
80111,2631689,2,1.16,0.32,-0.4,2.1,2.7219463412848404,9.249780620161554,2.242683147677555,6556.4344438240905,3.7710546150365056,2.3187679445203995,-0.4690554708566098,40.271172559496435,0.0014710290672089548,0.0006448064343669291,0.0072057397870183,5.754633693606882e-05,5.754633693606882e-05
29578,2633373,2,1.18,0.32,0.0,1.7,3.6355634959910286,8.982156884132186,2.9793891422517027,5739.482261915008,3.723907499764673,2.4691436733594934,-0.05155740959519157,38.526631122602474,0.00126687433772353,0.0006497854836713945,0.0181,-5.95049638391171e-05,5.95049638391171e-05
13601,6058283,3,0.86,0.28,0.4,2.3,24.567699465879357,8.275195940813148,21.6803067108446,5111.498914128355,4.236886790258303,1.1679186929019594,0.3130519690969555,100.43548613062323,0.0006940542280013504,0.0014554479834374412,0.045465144410323406,1.3283178248467068e-05,1.3283178248467068e-05
