,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx
2783,7170110,1,0.86,0.26,0.0,2.1,6.807621784882445,2.259039745145962,15.622689553310337,5361.394391835916,4.5288799644486675,0.8351296830456941,-0.057856763826742125,164.84258580811016,0.000221316958639364,0.0021048276389065146,0.0181,0.01584243051716392
2784,4708788,2,1.13,0.32,0.4,2.3,7.053980228293043,9.123078550159304,5.667167202525575,5373.848023845422,3.9216176884907163,1.9245842147607792,0.3751245036012139,54.521898702711326,0.00115440051353075,0.0004010028404890509,0.045465144410323406,0.042934170682259326
2785,4504216,2,0.91,0.28,-0.3,1.7,9.584253834703725,9.160509392217373,7.794541446106052,5499.484259247181,3.860140078301797,1.852317679376252,-0.35474369445470794,52.13757007735287,0.0013046518115188842,0.0006598832541939159,0.009071488928653629,0.007997143341407786
2786,3934723,1,1.13,0.28,0.2,1.7,2.938107239112007,2.3504446148273304,5.938782183544554,5852.6890584630355,4.320536259837517,1.2167903828659083,0.12001456799461592,108.06858826190084,0.0001345631691097964,0.001640275726096041,0.028686566783546162,0.02386124735725524
2787,726912,2,0.83,0.32,-0.3,2.3,9.188674443583826,7.649370510069483,8.137666599313789,6017.596457452331,4.117498041158472,1.3162592708324177,-0.4424727024425516,82.06772640502945,0.0006929078283554218,0.0015986582853244056,0.009071488928653629,0.0065344023525322065
2788,4159585,2,0.9,0.3,0.35,2.3,18.234539143110105,9.803632957645862,14.222821297675251,4854.049252434489,3.7553738325026313,2.078484624601356,0.3312980158635321,42.736773091819074,0.0006756991307180183,0.0001822195650601488,0.04052085260808695,0.03881294445395083
2789,835302,2,0.86,0.3,-0.3,1.7,10.200864585058762,9.194753546367112,8.330438178452122,5488.909956918569,3.8654251319795705,1.789742379974666,-0.3586209776226483,53.310120518479536,0.001316673331902003,0.0006560229403684281,0.009071488928653629,0.00792606441006591
2790,5654251,2,1.11,0.24,0.2,2.1,11.365081366366761,9.768711646913246,8.364872035812704,4837.823411438733,3.7287454932428825,2.380107952192556,0.1895068627283739,38.85783036265022,0.0005930281430675718,0.000211019941559254,0.028686566783546162,0.028001767002332933
2791,4600752,1,0.86,0.3,0.25,1.9,5.372555396881428,1.8872578901072046,15.375324350313392,5160.593272941184,4.5330600119343165,0.8311203121287608,0.20621203663780585,166.07681253683774,0.00021763445866117756,0.0022440488989999567,0.0321868573217045,0.029099840696923413
2792,7823318,2,0.99,0.32,0.2,2.5,7.792552392591951,6.798625667482206,6.539902974137077,5952.253901005041,4.190947567641624,1.321212401480855,0.1322516705509226,89.44605516567032,0.0006675868705116721,0.0025152351222538787,0.028686566783546162,0.024543146821726498
