,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx
28,28,2,0.81,0.28,0.0,2.1,18.185892340395363,7.678531316235741,16.79171875512362,5467.9180112232725,4.234283406617971,1.1369547133126583,-0.10173246681605193,101.44825345694277,1993.8658445756878,0.0004840122344529419,0.0016347866554590196,0.0181,0.014320101889670313
29,29,2,0.87,0.28,0.0,2.1,13.09301673112819,6.6117867276251685,12.671148526688686,5636.630028149333,4.265761525287616,1.136673757794809,-0.1036549382382246,104.93440016059398,2111.423177158547,0.0003353917631587419,0.0018683797029193094,0.0181,0.014256851849117215
30,30,2,0.99,0.28,0.0,2.1,9.957092563862613,9.89569166622699,7.406038867892791,5014.992565465142,3.6563184018625634,2.4425575334017493,-0.010742417276221482,35.179932155483634,550.1825087313118,0.0006176797994806538,0.00029631840490262906,0.0181,0.017657782276603168
31,31,2,1.14,0.28,0.0,2.1,4.380155383195317,5.527295046231385,4.4426321398840525,6133.99744956102,4.12683955769878,1.527388499771729,-0.15058386497378515,77.0417934462358,1469.911834038799,0.0007706616919375125,0.0006007019677925496,0.0181,0.012796603389777709
32,32,2,0.89,0.28,0.0,2.1,14.315274652422431,9.389040308912273,11.574597690565655,5192.266773411766,3.921192228907183,1.7077593880499369,-0.03588055285654381,57.85869222227675,995.032472732098,0.0012431570968024954,0.0005138890432632159,0.0181,0.01666472003662126
33,33,1,1.02,0.28,0.0,2.1,5.929075909094356,4.5905174441748935,6.4924266393488015,5969.058330936025,4.2624523618651375,1.2358632958411089,-0.11553636990222148,100.0015829103209,2036.211915827845,0.0005132185825793248,0.0053916711171259615,0.0181,0.013872099812147029
34,34,2,1.11,0.28,0.0,2.1,6.226864923497332,9.026764852884154,4.8147557497222335,5607.513087081483,3.8605055825278374,2.04572376921903,-0.032228931431281284,49.55734262358869,832.6144787929829,0.0012334460008927288,0.0007571971171609349,0.0181,0.016805430549916397
35,35,1,0.8,0.28,0.0,2.1,2.448808793135589,1.3005954802879327,17.621887873516183,5133.794073847107,4.606446055961702,0.7366592427063632,-0.02030650246307504,191.5774958609444,4847.863220707622,0.00021213972557930028,0.002660035269505825,0.0181,0.017273170998335308
36,36,1,1.08,0.28,0.0,2.1,3.292145232973121,2.849189150789779,5.021366061182642,6129.556381685299,4.31446604527637,1.1979081835234513,-0.11470128456064825,107.39740964149263,2265.035678672251,0.00014260075499256618,0.002140899727850698,0.0181,0.013898799511047158
37,37,2,1.19,0.28,0.0,2.1,4.929586006061956,9.562000326687636,3.8794280795262175,5251.190414734943,3.7355752144075502,2.44594123586314,-0.012556640630992795,38.820525713555725,645.3121695535935,0.0015136623918600165,0.0007748232539155353,0.0181,0.017584172448461326
