,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
1412,2,1.11,0.28,0.0,2.1,4.873213632773537,5.5951283646262295,4.8147557497222335,-1.1108749829321956,4.1260311563142595,1.5084122059576996,-0.1466845590573925,77.58937180332416,1470.4245110103507,0.0009494334318187936,0.005960324410400397,0.0181,0.012912014818933112,1.1108749829321956
17091,1,0.83,0.28,0.0,2.1,13.161832424783492,4.990838267916501,15.272600428535487,-0.07576932606383165,4.387684456391884,0.9652537437103212,-0.11032177215286136,130.68698960251191,2824.0756250631844,0.0003295533404302456,0.0028008801077584744,0.0181,0.014039666858371264,0.07576932606383165
17355,1,1.13,0.28,0.0,2.1,4.526207621139752,5.525633164415948,4.562857433789538,2.8809773055726233,4.114886322010974,1.5417134384249191,-0.14697246830042854,75.6727653990731,1427.7165511702408,0.0002678490752515777,0.0009894183858581984,0.0181,0.012903457822212876,2.8809773055726233
16659,1,1.08,0.28,0.0,2.1,3.730238496767034,3.275156661428309,5.021366061182642,-0.2229590940251708,4.288857629890022,1.2337516301380056,-0.1282125707298909,102.83749241359243,2137.4709634654673,0.00013870547462336988,0.0018305624461615877,0.0181,0.013473052563677911,0.2229590940251708
15301,1,0.8,0.28,0.0,2.1,16.144037412115722,5.655813664869004,17.621887873516183,-0.14470414061211245,4.373128055633108,0.9636037526730308,-0.1193582295139396,128.71702020115086,2751.130544405981,0.00043155097672354834,0.0033314661503783816,0.0181,0.013750558730972511,0.14470414061211245
13892,2,0.93,0.28,0.0,2.1,10.9707435820142,7.466262496711018,9.661852852265543,-0.09361701213947488,4.154714710116571,1.3350287295498866,-0.08621978732619824,85.57842718434314,1623.1610539082947,0.000737422771448978,0.0026404945496788512,0.0181,0.014840850408515077,0.09361701213947488
5317,1,1.04,0.28,0.0,2.1,4.86578788743983,3.834858376754516,5.9485837932703305,-0.10515204141416212,4.2877456117177495,1.2122398053723749,-0.11935709478755778,103.79391986323064,2148.553462527967,0.00018004837812570925,0.00212368428048082,0.0181,0.01375059465853501,0.10515204141416212
1654,1,1.14,0.28,0.0,2.1,4.176059585972594,5.104049227655713,4.4426321398840525,-0.30397222726814344,4.1596231743048495,1.470908017617699,-0.15343602018666544,81.44673201453854,1592.289018979083,0.00025069241877302153,0.0021735559109460345,0.0181,0.012712839225981331,0.30397222726814344
2156,2,1.11,0.28,0.0,2.1,6.366817819540534,9.484366853542296,4.8147557497222335,0.19329475060814266,3.783661915205757,2.2346461909457784,-0.016413178140648462,43.022482442426366,719.5531294373186,0.001180909995949823,0.0005402951080941687,0.0181,0.017428716143455078,0.19329475060814266
14203,2,1.2,0.28,0.0,2.1,3.783868577518871,5.972770022392556,3.782354398433177,-0.7854640066976396,4.044523356630223,1.7228111585210628,-0.17180967187780907,65.381346828474,1204.0603429505086,0.000475075616825938,0.000374131312449677,0.0181,0.012186216877968553,0.7854640066976396
741,2,1.17,0.28,0.0,2.1,5.104477603006412,8.982165247447899,4.091309808430505,-0.5475285684660836,3.827232388299724,2.182666299669225,-0.03320090268471753,46.23582832616054,766.7540067979248,0.0012270681049966013,0.000726015060964591,0.0181,0.016767861271152536,0.5475285684660836
18918,1,1.04,0.28,0.0,2.1,0.3941147303257097,1.1150183264565823,5.9485837932703305,-0.7575022870723783,4.4822875748406465,0.9689861262100192,-0.008939487128530741,144.50266670452243,3369.3803029399846,0.00017013540877132673,0.003265977604382672,0.0181,0.017731239164358217,0.7575022870723783
7304,2,0.81,0.28,0.0,2.1,20.542574261212064,10.0,16.79171875512362,0.1366933882113178,3.597575900001358,2.363655916474836,-0.0183434664854146,33.30419444105409,487.7705822528977,0.0006855850148816809,0.00019674150357484876,0.0181,0.017351423441904802,0.1366933882113178
18709,2,1.16,0.28,0.0,2.1,4.269556305160628,5.9206752151288145,4.199255540080211,-0.07238741589814593,4.066936507271537,1.6506145883975183,-0.15694412261342902,69.11934401930912,1276.071706920283,0.0003561082111003366,0.0015373791905030076,0.0181,0.012610562306714408,0.07238741589814593
11328,2,0.9,0.28,0.0,2.1,14.116412272361385,9.963543710580163,11.034172315856123,0.048485463194417294,3.624823233935262,2.4148286855329246,-0.01349538880259642,34.07590865170341,515.5110113126441,0.000576814661716214,0.00021335887996132286,0.0181,0.01754620447323169,0.048485463194417294
17596,1,0.94,0.28,0.0,2.1,7.394347978629705,4.089582266924721,9.244176995912698,0.12753211788806665,4.352727657042201,1.069411315260794,-0.09711791293430247,119.13431170529579,2540.479541352576,0.00021344818414798541,0.0023621754250337523,0.0181,0.014473069977574197,0.12753211788806665
9446,1,1.18,0.28,0.0,2.1,0.1729113893498964,1.079740209792921,3.985256389890727,-1.2196780009018657,4.3892200938271575,1.1488825508305511,-0.01618631393163399,118.09253279284201,2637.0348369447624,0.0002071426989414544,0.0037159154516906642,0.0181,0.017437822832505466,1.2196780009018657
11319,1,1.2,0.28,0.0,2.1,3.527174339742793,5.290792458479293,3.782354398433177,-0.0132787701555966,4.1124468704873465,1.5933524940270083,-0.1800537165960821,74.02474940958534,1422.4148014078592,0.0002890225554389914,0.0019094482494977916,0.0181,0.011957072382660206,0.0132787701555966
16044,1,1.05,0.28,0.0,2.1,5.6739628699611835,5.074779397762381,5.701476462362781,0.3202418754762695,4.211918137508145,1.3287778528316232,-0.121568659661251,91.11110042949016,1805.1493127954334,0.0005361080644948956,0.0048434179297388025,0.0181,0.013680750266877513,0.3202418754762695
4319,1,0.85,0.28,0.0,2.1,0.9578896752262775,1.1357098987032777,13.910367845083716,0.0768549817299913,4.598798476851601,0.7660460916178136,-0.00911900093149548,186.04501961683292,4672.082655156595,0.00019877218641384966,0.002756562500240728,0.0181,0.017723911545526744,0.0768549817299913
2624,1,1.16,0.28,0.0,2.1,0.9646945483829582,1.4945662294527493,4.199255540080211,-0.05607189659275902,4.357995499686073,1.1807988499036557,-0.07698968807508387,112.77322337797564,2464.282746012272,0.00016830298662523675,0.0030543061271657984,0.0181,0.015159639953996697,0.05607189659275902
17061,1,1.04,0.28,0.0,2.1,0.33564601581894377,1.0971537825846733,5.9485837932703305,-0.9963298020281657,4.484343886203726,0.9666948462802459,-0.007527743952840621,145.00965896784308,3385.7453855043627,0.00017525342609925728,0.003295857056640896,0.0181,0.017788971155497175,0.9963298020281657
8276,2,1.06,0.28,0.0,2.1,5.719425179324098,5.453361283312654,5.461143655387746,-0.14274301782811086,4.1822790197481785,1.3812652283271238,-0.12101709141463694,86.46379542279959,1684.8611129887759,0.0003925668166621786,0.0031153452296946993,0.0181,0.013698136306835562,0.14274301782811086
595,2,0.95,0.28,0.0,2.1,11.594516343201075,9.923341576558032,8.823142337632476,0.07644429596161222,3.643879829476292,2.427215760863585,-0.011851233671553154,34.77849774358537,536.4038280590702,0.000541285336197779,0.00022978976318688282,0.0181,0.017612756916490516,0.07644429596161222
4762,2,0.8,0.28,0.0,2.1,21.13136425611672,9.659642236758721,17.621887873516183,-0.07187494780456058,3.843079479705602,1.7712668341133568,-0.03573637843623978,51.70050674649244,852.491563879029,0.0007363510225534528,0.00026073923376790376,0.0181,0.016670253206623784,0.07187494780456058
4826,2,0.85,0.28,0.0,2.1,17.130038178481133,9.735375680210108,13.910367845083716,-0.08756480533628459,3.779788981170902,1.9636763857201447,-0.02587384343295117,45.47837833681381,735.3196452584856,0.0006519679921913893,0.00024351599993222006,0.0181,0.017053154684266575,0.08756480533628459
2020,1,1.14,0.28,0.0,2.1,0.4197895480357484,1.1780443532302438,4.4426321398840525,0.10538043834201588,4.403797963034259,1.1104477305434852,-0.025012887068901743,122.90459707045821,2749.730462280993,0.00017052029065392512,0.0033127620177376693,0.0181,0.017086994821068586,0.10538043834201588
3217,2,0.99,0.28,0.0,2.1,9.71141651293935,9.351581033124399,7.406038867892791,-0.0766970453156112,3.8763850087884495,1.8963420072404773,-0.025759028358485585,52.15541240771658,888.0220811226241,0.0011731905514456797,0.0005174999087765864,0.0181,0.01705766364798507,0.0766970453156112
8781,1,1.14,0.28,0.0,2.1,2.8523797227634744,3.0445846726906236,4.4426321398840525,-0.09481292532880595,4.259623691009867,1.310947370755408,-0.1725410341149609,96.08489892081872,1979.3681721764774,0.00037431545601998643,0.004313302902861693,0.0181,0.012165712268869304,0.09481292532880595
804,1,1.19,0.28,0.0,2.1,3.42512673297592,4.800597501350486,3.8794280795262175,-0.07703525161395741,4.1394582155880375,1.538115857441683,-0.19733554905801567,77.57095205594726,1509.9894350726568,0.00037539323425213843,0.002303854684155948,0.0181,0.011490608444152794,0.07703525161395741
11415,2,1.07,0.28,0.0,2.1,6.1886558993220255,6.691468330690159,5.220910024115425,-0.003666164191719945,4.097217595551596,1.5299942966529003,-0.09863207771047153,74.81335772726726,1389.2508638643164,0.0008447263185945756,0.004300039604756334,0.0181,0.014422697579445734,0.003666164191719945
17253,1,0.96,0.28,0.0,2.1,0.5605208206060627,1.1221777892066376,8.459324558709586,0.5569238604507648,4.5383387534973965,0.8727923207780699,-0.007977196136193009,162.43409288585684,3913.9053685307777,0.00017442097038902716,0.0029702521288176714,0.0181,0.017770570838399342,0.5569238604507648
8768,1,0.83,0.28,0.0,2.1,10.554492485545698,3.6296632815542256,15.272600428535487,0.044262101601332364,4.460734627256767,0.8873938391960499,-0.09096000381842533,148.06773282854383,3355.498180168371,0.0002952040919132953,0.0029936496396961165,0.0181,0.014679747010501317,0.044262101601332364
10851,1,0.85,0.28,0.0,2.1,13.493632998228405,6.005412643639465,13.910367845083716,-0.15045447588208757,4.31893221790972,1.0570311167952036,-0.10894484997690748,115.49748678870493,2395.961989053311,0.0004516492433668254,0.003126730385663745,0.0181,0.014084249985664937,0.15045447588208757
14941,2,0.86,0.28,0.0,2.1,13.512313400269369,6.4943708909777715,13.258938850590713,-0.09376134532881505,4.2813249602658185,1.1101060106037501,-0.1050597876849726,108.05500763717372,2192.676530215498,0.00035201186480089545,0.0020521542201193954,0.0181,0.014210808503311925,0.09376134532881505
3236,1,0.89,0.28,0.0,2.1,11.269691690081682,5.8303614567724855,11.574597690565655,-0.11465286128008347,4.2977843273804055,1.1082639762853836,-0.10466990421910526,110.0876189198934,2262.440804531453,0.0004683138142159709,0.0034010826366724367,0.0181,0.014223571840719738,0.11465286128008347
580,2,1.06,0.28,0.0,2.1,5.649511040338122,5.3414516452331,5.461143655387746,0.1076187218971413,4.188827219406469,1.3709333648367206,-0.12200724266197174,87.415391644302,1710.0254185431088,0.0003992506863314567,0.0032902861059040944,0.0181,0.013666941397373837,0.1076187218971413
18352,1,1.08,0.28,0.0,2.1,1.6964454447033683,1.7152139169299219,5.021366061182642,0.12502758992847243,4.395953424756483,1.090636033093398,-0.05880324050698255,123.38418816440115,2731.900672278416,0.0001486047155728325,0.002845273279425603,0.0181,0.015807942020395684,0.12502758992847243
13455,2,1.04,0.28,0.0,2.1,6.381868336840006,5.829532626043352,5.9485837932703305,0.14393778434865906,4.175427336829284,1.3789099714529691,-0.11168412546977388,85.94839273882117,1664.8445455388596,0.00037163834587907303,0.0025891446259869166,0.0181,0.013995694349390018,0.14393778434865906
6947,2,0.85,0.28,0.0,2.1,17.257847556241092,9.9020916037732,13.910367845083716,-0.08047120335028045,3.67194435800539,2.2229640135016933,-0.01917399631191341,37.582241864473076,576.1628288853854,0.0006928575278247396,0.00023098104292584853,0.0181,0.017318272884737498,0.08047120335028045
6395,1,0.82,0.28,0.0,2.1,12.418541968249539,4.27769546636147,16.034095100136632,0.031247334133295897,4.4329458003005735,0.9107070587702906,-0.10259638275845746,141.68062231943162,3149.696939131639,0.000324065505817705,0.002943045402466149,0.0181,0.01429164408469427,0.031247334133295897
3018,2,1.06,0.28,0.0,2.1,5.801711359265207,5.588081913916855,5.461143655387746,-0.5408483642323335,4.174351935367727,1.3938772374091302,-0.11890460457077293,85.32798382548457,1654.915117099253,0.00037509172510190254,0.002913597797546519,0.0181,0.013764928831062243,0.5408483642323335
15274,2,0.96,0.28,0.0,2.1,8.78790104936223,6.093570062697675,8.459324558709586,0.08007768325591288,4.224420272519653,1.2522374748679928,-0.10214922961554856,95.36542042629999,1887.5142018034387,0.0003652221549572874,0.0023522968230358376,0.0181,0.014306366455916276,0.08007768325591288
14655,2,1.09,0.28,0.0,2.1,5.082148612923913,5.329788448556189,4.824137932989341,-1.6183624573453042,4.1665361336736115,1.4262981537882498,-0.1304953207002889,83.50467010395205,1617.562997232104,0.0003822266889521403,0.0032610275086090157,0.0181,0.013402420944276974,1.6183624573453042
1695,2,1.14,0.28,0.0,2.1,5.4960618362453095,8.544334315101857,4.4426321398840525,-0.14918499429638626,3.892269710041454,1.9992079712390791,-0.0549273642904392,52.07160573056613,878.5236392704567,0.00141828793835175,0.0017761410010134204,0.0181,0.015949651956108885,0.14918499429638626
7872,2,0.94,0.28,0.0,2.1,9.666749309749932,6.304601886080342,9.244176995912698,0.06942350841588932,4.227953826952376,1.234053388673575,-0.1001703236609654,96.460112846483,1909.9605630191231,0.00035108871256369896,0.00211235197691928,0.0181,0.014371703580533557,0.06942350841588932
10539,1,0.95,0.28,0.0,2.1,1.3668432230929122,1.310669084143544,8.823142337632476,-0.02941944143498332,4.527213786041712,0.8794265772206078,-0.0189753920052272,159.82520891654352,3819.7590920650982,0.00017074258164833454,0.002907163156824613,0.0181,0.017326194399484168,0.02941944143498332
16833,1,0.81,0.28,0.0,2.1,0.5250216602019989,1.0606149258161999,16.79171875512362,0.0724274321220939,4.6219431843559535,0.7281411811935758,-0.004425184181015203,196.09106958604903,5021.105857485291,0.00022398934593123923,0.0028557744242657043,0.0181,0.0179165089434175,0.0724274321220939
5495,2,1.16,0.28,0.0,2.1,5.506031455646967,9.909507144366012,4.199255540080211,0.5959075233468676,3.632831413196063,2.7176742968044736,-0.0077494820326777375,32.45616748840432,516.7566890630328,0.0006798053693988644,0.00042559388057772374,0.0181,0.017779890944555787,0.5959075233468676
8829,2,1.08,0.28,0.0,2.1,6.410556678265874,7.6814978939089675,5.021366061182642,-0.5061800495531196,4.017148338259706,1.685049815860986,-0.06333171597134755,65.27911305748749,1161.7182137647521,0.001045183104337553,0.003406559445122248,0.0181,0.015643965837751957,0.5061800495531196
6708,1,1.15,0.28,0.0,2.1,3.943663226582837,4.905114206511564,4.31297783662831,0.06552414727215507,4.161790918395559,1.4736628577543225,-0.16345139399712336,81.50421536370786,1597.2521494312582,0.00032657693772983164,0.0023099295667827757,0.0181,0.012423019899094943,0.06552414727215507
3341,2,1.0,0.28,0.0,2.1,8.73019049160208,8.047167209033807,7.086683378199176,-0.22941969292118697,4.04732824534541,1.5660825622001695,-0.0667461162268782,70.09111236515372,1262.0242577740144,0.001558280369428859,0.0037466060419103497,0.0181,0.015521456019320468,0.22941969292118697
7442,2,0.87,0.28,0.0,2.1,14.549839908468986,8.158182343295627,12.671148526688686,-0.10008404046280567,4.1428145625415,1.3088711732488465,-0.0799805713033591,85.40472443658027,1602.1216687487138,0.0008882629608844598,0.0020298479921453394,0.0181,0.015055597772536473,0.10008404046280567
1031,2,1.17,0.28,0.0,2.1,5.272450488736277,9.655036521408622,4.091309808430505,0.3259131670857956,3.716028792434472,2.4803264173330724,-0.011586091858984869,37.62063780924607,620.2657345438029,0.001616367514787124,0.0009105504807453979,0.0181,0.01762351299165461,0.3259131670857956
15936,1,0.9,0.28,0.0,2.1,7.781649942174409,3.5511911129747977,11.034172315856123,-0.06912569981212707,4.4151522810983685,0.9738448925231245,-0.08610885863384034,134.03359487344088,2961.6108429917754,0.0002324530614968657,0.0026880426538282154,0.0181,0.014844641583544916,0.06912569981212707
14428,1,0.81,0.28,0.0,2.1,15.565903546915695,5.724515050656206,16.79171875512362,0.25382159170117546,4.362924189084239,0.9810305887128652,-0.11656000831365128,126.08205840817348,2679.2545620144065,0.00043442847369691063,0.0033340250901844892,0.0181,0.013839441574185915,0.25382159170117546
6451,1,1.03,0.28,0.0,2.1,4.601465437233307,3.4085221866982223,6.227122736152007,0.10013333898306895,4.319293926062448,1.1633658898257844,-0.10634092791871058,109.79343231859669,2312.030547115201,0.0001597899640927177,0.0021023261050032716,0.0181,0.01416894932167124,0.10013333898306895
7000,1,1.12,0.28,0.0,2.1,0.4891949397297139,1.195701674988278,4.693988360961042,-0.057350013930503374,4.415402874545412,1.086056078859653,-0.02352081301959796,126.14663797755829,2836.3104245952704,0.00016691216762278608,0.0032774779787200503,0.0181,0.017145800328811703,0.057350013930503374
8409,1,1.13,0.28,0.0,2.1,0.3935451213094561,1.1602423230452248,4.562857433789538,-0.5534019379331907,4.4123147122027415,1.0947792121159003,-0.020858503969232764,125.11009619856421,2810.4816644667785,0.00017182722312435064,0.003348886325792652,0.0181,0.017251230218864752,0.5534019379331907
18544,1,1.07,0.28,0.0,2.1,3.35266582799436,2.800406626678228,5.220910024115425,0.04282125659749117,4.325016827758434,1.1779535129119834,-0.10766944991367686,109.64475490091992,2324.6653795617176,0.00014734749082436898,0.0022470089164732254,0.0181,0.014125672237418648,0.04282125659749117
2672,1,1.1,0.28,0.0,2.1,4.5865426229243536,4.790235337272208,4.961535200625608,-0.9367141678420033,4.198479809119202,1.3816597775402781,-0.14867082856076025,87.85436931645025,1743.6075835385566,0.00018176099986968222,0.0017041604803612054,0.0181,0.012853095852076684,0.9367141678420033
3934,1,0.96,0.28,0.0,2.1,1.4803078133446694,1.3558460969637685,8.459324558709586,0.030404694369152163,4.516612583557591,0.8948989560386408,-0.02156123470029031,156.52738888722962,3715.596397487608,0.00016814051194821226,0.0029052943233983525,0.0181,0.017223338621472087,0.030404694369152163
15950,1,0.93,0.28,0.0,2.1,7.349350449660442,3.844995144773865,9.661852852265543,-0.06017113263491646,4.3744643207772,1.0374185052880835,-0.09242606118999032,123.9805652256886,2676.8395902377524,0.0002223480695426491,0.0025276303553287693,0.0181,0.014630275815253077,0.06017113263491646
2850,2,1.15,0.28,0.0,2.1,4.3189528955006535,5.706543916977341,4.31297783662831,-0.6622262822157063,4.088083945500719,1.6040230763194638,-0.15153010095038807,71.84178737648017,1339.4848744758801,0.00038388056349238634,0.0015239041350408877,0.0181,0.01276875264440506,0.6622262822157063
