,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx,weights
9896,1,1.15,0.28,0.0,2.1,0.058982779091838924,1.0240698616321853,4.31297783662831,-0.6940348229670337,4.416684071569272,1.0988832689902917,-0.002642768538051216,125.25768338531931,2828.235763814318,0.00016819358308414373,0.0014831523559683934,0.0181,0.017990192329768374,0.6940348229670337
7589,2,1.14,0.28,0.0,2.1,4.464366090330008,5.711995146447108,4.4426321398840525,3.625887999283001,4.094527098197978,1.5851973756397189,-0.15058119751034602,72.90119092736076,1361.7781829826722,0.0005004560750532995,0.0024015929114410417,0.0181,0.012796681987544748,3.625887999283001
5486,2,0.85,0.28,0.0,2.1,17.171408494423652,9.78903002424188,13.910367845083716,0.06758591295392122,3.747012940084392,2.0391102934404968,-0.02362095271285624,42.900404393827465,683.0614217060299,0.0006081238218548126,0.00022400350047624418,0.0181,0.017141847303106486,0.06758591295392122
15208,1,1.11,0.28,0.0,2.1,2.0781456189449417,2.084001475554669,4.8147557497222335,0.2415168301082826,4.344758474327559,1.172808024854925,-0.0955954047308274,112.08791346299444,2413.52827690284,0.000138887126843173,0.0023177088156258463,0.0181,0.01452389732770522,0.2415168301082826
16702,1,1.08,0.28,0.0,2.1,4.4514478943372335,4.119530771043812,5.021366061182642,-3.2599923585216253,4.242363193821527,1.3014832779633303,-0.13910508482890088,95.08713119156276,1924.8299866046646,0.0005494836442097707,0.006640898792206307,0.0181,0.013139338161814378,3.2599923585216253
8120,2,1.13,0.28,0.0,2.1,4.611242957498293,5.705969197795576,4.562857433789538,-1.8540418631870201,4.102442026860482,1.5638804794763177,-0.146969310063101,74.13095580455874,1388.9883078961475,0.00038242753797109,0.0020248744484476777,0.0181,0.01290355165792119,1.8540418631870201
7218,2,1.18,0.28,0.0,2.1,4.6984035508797,8.041961505065236,3.985256389890727,1.6558741270298838,3.911258986484475,1.9904489976632547,-0.08757317652755273,53.175030249852114,905.9875430039087,0.001926926786883968,0.003921798614034855,0.0181,0.014794673945481564,1.6558741270298838
16834,1,1.08,0.28,0.0,2.1,0.9108451289257908,1.3360070392546157,5.021366061182642,-0.02693173353834867,4.429957987382863,1.0487634915874418,-0.030844498088026813,130.76936064781106,2956.967964392296,0.00015038204201835444,0.0030809216905983705,0.0181,0.016859087969475623,0.02693173353834867
15943,1,1.04,0.28,0.0,2.1,0.12139006826743985,1.0341015411657293,5.9485837932703305,-0.41912721933590236,4.49290161191263,0.9572173028367992,-0.002362008405672627,147.13502106093534,3454.6711789005885,0.00022047529368758034,0.002895972742818418,0.0181,0.01800182628320261,0.41912721933590236
15155,1,0.99,0.28,0.0,2.1,2.709409323792649,1.8658182652215252,7.406038867892791,-0.38774219058600257,4.45322682818745,0.9775722387521076,-0.04675393781862139,139.36375557142478,3177.750460694529,0.00016660403164087757,0.002797663962701452,0.0181,0.016252666993919897,0.38774219058600257
10800,1,0.91,0.28,0.0,2.1,0.25100238687958065,1.043439537545129,10.561674426450939,0.4417025355741303,4.578372664437825,0.8114822797941265,-0.0027253996225860264,176.42929484282618,4363.5795331787685,0.00028653911188324804,0.003721354599304956,0.0181,0.01798676974957246,0.4417025355741303
8732,2,0.86,0.28,0.0,2.1,16.172658826168732,9.386676796914955,13.258938850590713,0.15233225030816888,3.9392946871095087,1.6441478921179975,-0.04049037226701396,60.23362880028578,1040.306768263524,0.0012700437856161385,0.0005277403753773946,0.0181,0.01648876781608721,0.15233225030816888
18023,1,0.99,0.28,0.0,2.1,0.3444071167476828,1.0825092379217351,7.406038867892791,-0.5539194012851738,4.522162189983017,0.90298633683143,-0.005578484964822507,156.7206741875217,3740.892739319018,0.00018307889778713628,0.0031260329818467263,0.0181,0.01786899346090791,0.5539194012851738
4621,2,1.16,0.28,0.0,2.1,5.295016691751199,9.07567768954931,4.199255540080211,0.19741062951044436,3.824009774439998,2.1812876053107826,-0.02860343203405752,46.0308066037387,765.647488755603,0.0011835486570543337,0.0006184577393517632,0.0181,0.016946309848333372,0.19741062951044436
1454,1,0.81,0.28,0.0,2.1,14.3969105414855,5.021492683101932,16.79171875512362,0.5938427557124953,4.3998777427528495,0.94026076593108,-0.11349035321742942,134.30366598185034,2921.163397200756,0.00036536988530214273,0.0029687146475834703,0.0181,0.013937607229047638,0.5938427557124953
6395,2,1.02,0.28,0.0,2.1,8.608980528528589,9.141530167493995,6.4924266393488015,-0.13403163166359577,3.903340400540354,1.8661131087794505,-0.030006751151409126,54.3861276470826,929.972192342444,0.001219615822611361,0.0006918180197890145,0.0181,0.016891640260137532,0.13403163166359577
8484,2,0.91,0.28,0.0,2.1,13.497031035317605,9.840851269646418,10.561674426450939,-0.2212568440519242,3.699182078090804,2.2291786539816587,-0.01667352021888321,38.75412940104557,609.7558535875427,0.0005762654560966719,0.00023185572027051293,0.0181,0.017418271459859934,0.2212568440519242
1490,2,0.94,0.28,0.0,2.1,11.947328113046925,9.734482015815287,9.244176995912698,0.10279483204204548,3.7509181261010967,2.1347304524076285,-0.0179141011242104,42.153797253037546,682.9450747374476,0.0007406626444362892,0.0003242091827059257,0.0181,0.0173685864142425,0.10279483204204548
5109,2,0.82,0.28,0.0,2.1,18.283058500992986,8.497508546122402,16.034095100136632,-0.12232602410116214,4.144189756071258,1.2686008189925744,-0.08229090328183113,86.9143345205579,1627.2621978944712,0.0009865789017765437,0.0016503219491337262,0.0181,0.0149757186238327,0.12232602410116214
6755,2,0.84,0.28,0.0,2.1,16.341541563257607,8.021245371679358,14.576375251050134,-0.26129130827350067,4.180219828511883,1.2319977117508285,-0.0902094249411264,91.78567407374304,1753.2654015830406,0.0007536896657052497,0.0019433634472503236,0.0181,0.014705139538595431,0.26129130827350067
