,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,nu_max,hrgradient,fagegradient,initial_zx,star_zx
4571,1,0.93,0.28,0.0,2.1,8.996395684285421,5.199665241248198,9.661852852265543,-0.11815746161230775,4.301188571324616,1.1285955781003492,-0.10457812966760807,109.46322394184105,2262.1593810048653,0.0004807690833910089,0.004237357027467525,0.0181,0.01422657786523579
4572,2,1.01,0.28,0.0,2.1,6.944648863646152,5.589731755834739,6.778158727378367,-0.08629726403107019,4.213715953286477,1.300431166487768,-0.1088465616948042,92.3834362481098,1825.3850191682686,0.00038823998593375344,0.00299975563875321,0.0181,0.014087437853465725
4573,2,1.2,0.28,0.0,2.1,3.968737094290064,6.517745879510377,3.782354398433177,0.01621970200889391,4.003198737142968,1.806481617597534,-0.1717728842282319,61.28624510491725,1101.295147389669,0.0003063658619327803,0.0011155337901291862,0.0181,0.01218724917582749
4574,2,0.86,0.28,0.0,2.1,16.31498864900873,9.573496784492555,13.258938850590713,-0.0017822605205603977,3.8621745851501834,1.7966346964949995,-0.03191832708894388,52.52200863350338,881.3417434670952,0.0011762887728248195,0.00045556693772830226,0.0181,0.0168174539740273
4575,2,0.96,0.28,0.0,2.1,10.70002788366076,9.029197616336768,8.459324558709586,0.05302993868388136,3.962730040238753,1.69095026935681,-0.04103047364014042,61.20180094761447,1065.8073997145907,0.0013040532383999585,0.0009127869589033999,0.0181,0.01646827464574384
4576,1,0.94,0.28,0.0,2.1,3.684067113395272,2.017229176182048,9.244176995912698,-0.003102860733910247,4.479946773916095,0.9237090881207768,-0.049128503730669584,147.88301519797685,3419.8163005070587,0.00017943086977872323,0.0027336183589893037,0.0181,0.016164045755890904
4577,2,1.06,0.28,0.0,2.1,7.750414475807059,9.959935162633233,5.461143655387746,-0.04794735899042176,3.6180274261030014,2.6411585335239707,-0.006868213824404527,32.331127112928726,502.42510366493246,0.0005786141268776976,0.0003177348850714745,0.0181,0.017816006441360718
4578,2,1.13,0.28,0.0,2.1,5.041130102674935,6.7117982380345325,4.562857433789538,-0.08297326398943175,4.043582595641275,1.6730555635139668,-0.14649530318205364,67.21893117134864,1220.750383028199,0.00038989335141822773,0.001721065859688009,0.0181,0.012917642813981813
4579,2,0.84,0.28,0.0,2.1,15.29938696961978,7.023850949071354,14.576375251050134,0.05763627653290837,4.261818660223155,1.1218914548903802,-0.10477441147801883,105.19501684984614,2106.684547701165,0.0003063182418109492,0.0014282304154386027,0.0181,0.014220149536886743
4580,2,0.96,0.28,0.0,2.1,10.658181776932217,8.951828769880315,8.459324558709586,-0.18681320965585146,3.975307837106111,1.6666877022202269,-0.04402692024365302,62.56399472682869,1093.7099806378294,0.0013356327667242431,0.0010749421728230013,0.0181,0.01635504165685888
4581,2,1.09,0.28,0.0,2.1,6.950914396413897,9.861200063254165,4.824137932989341,0.025472030461475514,3.6590109035740994,2.55495846927167,-0.007837010765365493,34.52855852588738,549.8847469090986,0.0006881223553577655,0.00040993117658538747,0.0181,0.01777630790454077
4582,1,0.95,0.28,0.0,2.1,3.8995944295731326,2.163749044358558,8.823142337632476,0.0069018792001482076,4.462167780750326,0.9478128426072424,-0.05458127538880087,143.07392218761197,3272.176312684331,0.0001780386616661245,0.0027119226309615385,0.0181,0.015962367285872737
4583,1,0.88,0.28,0.0,2.1,7.983579409539411,3.318423882345273,12.11448733159481,-0.08048306204278322,4.443310552444533,0.9322464463912704,-0.08198521965285874,141.46863747776652,3178.832554274635,0.00022778147972054208,0.0026447369756267824,0.0181,0.014986263182114193
4584,1,1.11,0.28,0.0,2.1,3.8256432618594367,3.8641774865587157,4.8147557497222335,-0.06339233769419077,4.236846005722537,1.3279544030088797,-0.1588662526555274,93.39914095885617,1893.6443538825129,0.0007246017029242414,0.006601192920147936,0.0181,0.012554872950543675
4585,1,1.11,0.28,0.0,2.1,2.673464805585897,2.571885532134564,4.8147557497222335,0.011637856763062166,4.310481479363718,1.2200157194048549,-0.12281438917818435,105.7335179132922,2231.8231688818896,0.00025617519760958124,0.0037752571459926387,0.0181,0.013641564654062273
