,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx
4217,1,0.934012845601648,0.28,0.0,2.1,2.921902447705871,0.23835004396284795,9.470664906493164,5723.6567655413855,4.505423030379883,0.8941483636669411,-0.03791371087951399,154.70342520180668,0.0001781180098271189,0.002794026621460638,0.0181,0.016586886159772704
4218,1,0.8136647254837392,0.28,0.0,2.1,7.179246721235135,0.3571529882879813,16.51704471536441,5317.417786754586,4.54296632418574,0.7992529702517721,-0.060542377667569626,171.1614510628543,0.00023548000235495435,0.0026396839139909978,0.0181,0.015744765517869727
4219,1,0.931790710764543,0.28,0.0,2.1,9.05812754760285,0.7325194734716088,9.565606337475344,5784.094167932792,4.293112637392335,1.1401894618875148,-0.10408119532126743,107.92417276929415,0.00048122741334110546,0.004062269101069604,0.0181,0.014242865710672493
4220,2,1.1660237393358672,0.28,0.0,2.1,4.28094412020086,0.8063652512838602,4.136310520223437,6164.317023579464,4.048458741014493,1.6903874633260785,-0.15939315775535165,66.9120669326219,0.0003547640503971594,0.0015254436788064707,0.0181,0.01253965006482498
4221,1,1.1686926491354517,0.28,0.0,2.1,3.96691696789666,0.7537009233167267,4.10641879197193,6093.857915518061,4.123798873279632,1.5520074838140223,-0.1604231250494273,76.11920537361216,0.00023767105346696353,0.0018078055317305997,0.0181,0.01250994642582241
4222,1,0.931790710764543,0.28,0.0,2.1,1.7547434431685232,0.1419039129569035,9.565606337475344,5687.016775940992,4.533301398845103,0.8648746454200542,-0.02250608684108705,162.33298556104862,0.00017447658270138146,0.0028604886937366875,0.0181,0.01718590821529855
4223,1,0.8136647254837392,0.28,0.0,2.1,3.414953851109357,0.16988703970594612,16.51704471536441,5224.5362563402205,4.589485386154463,0.7575734185894515,-0.02939802535544208,185.24198647636388,0.00021251314078839226,0.002663982875078935,0.0181,0.016915332908950666
4224,2,0.8236162093393309,0.28,0.0,2.1,17.880424171382316,0.9286401936996217,15.74157640425576,5444.409985350906,4.1557904888977815,1.2545854279154964,-0.08527881330005098,88.54567082158226,0.0008971512525496352,0.001718748153046512,0.0181,0.014873040535054364
4225,2,0.8136647254837392,0.28,0.0,2.1,20.053542996416628,0.997623160901694,16.51704471536441,4899.738108404542,3.739415700242273,2.0125219164516444,-0.02633602663040296,42.80568582992598,0.0005353420173738959,0.00018388545951897317,0.0181,0.017035016095203522
4226,2,0.9082243376830028,0.28,0.0,2.1,11.840877835329886,0.8724499284091882,10.653165281869686,5689.539970002996,4.18346412781423,1.2764445843986227,-0.09063998958536776,90.36534138366751,0.0007884488900169672,0.0030330554023171308,0.0181,0.014690567915177723
