,Unnamed: 0,evol_stage,initial_mass,initial_Yinit,initial_feh,initial_MLT,star_age,frac_age,ms_age,effective_T,log_g,radius,star_feh,delta_nu_fit,hrgradient,fagegradient,initial_zx,star_zx,weights
40983,888987,2,1.19,0.24,-0.3,1.9,4.276519160959347,7.377976533710303,3.7112904280945536,6256.07087644095,3.9542013517848265,1.9025114521744293,-0.4122590087772685,-0.5679153405831769,0.0012422019541681547,0.002524630819449869,0.009071488928653629,0.007005184306915074,0.5679153405831769
66093,368536,2,1.2,0.32,0.35,1.7,4.4015415474403605,6.3447544148292305,4.34138988533691,5790.520747127939,4.06438020818406,1.6838899894418815,0.2688635422792412,1.1362437867503417,0.0007992803629038492,0.0002907861016420154,0.04052085260808695,0.033615696740368566,1.1362437867503417
59513,6903541,2,1.1,0.3,-0.4,2.3,3.8120480908478265,8.969561033014873,2.9857752298510003,6261.4168655216245,3.786182905538448,2.2182571632158377,-0.4644207545001714,-0.6525349343048603,0.00146989701537976,0.0007858153208010199,0.0072057397870183,0.006212377246312343,0.6525349343048603
83347,7847112,2,0.87,0.28,0.35,1.9,23.83300087831332,9.328756300297387,19.805882643654567,4780.664347634844,4.009874887694267,1.5249240467751632,0.297901554353022,-0.04047463942787033,0.0012656934646367898,0.0004901389540454826,0.04052085260808695,0.035940170181672025,0.04047463942787033
25831,5276080,2,0.99,0.32,-0.2,2.5,5.9422430321679816,9.835025797799366,4.176927300438476,5436.493025335351,3.667789832005205,2.41001193045779,-0.21038976379929086,-0.2399590657776116,0.0009418690887959461,0.00036463964267619,0.011420327935091498,0.011150357993476898,0.2399590657776116
14169,1417302,2,0.98,0.26,0.1,1.7,12.633790487751632,8.414437649303725,10.500999210610367,5345.558001780703,4.039526516007312,1.5643371599311175,0.03586522752106477,-0.04959827357983215,0.0015099196263951376,0.0019223326655875008,0.02278654995347443,0.019658202407165776,0.04959827357983215
11763,1630409,2,1.02,0.32,-0.2,2.5,4.4318085608181015,6.722744313882108,3.82530699770973,6416.466331153286,4.0712025029084105,1.5393375261903537,-0.32291333161929997,0.31645752235053237,0.0009680870161561716,0.003142976114616225,0.011420327935091498,0.008605284700210731,0.31645752235053237
46968,8346792,2,1.155,0.31,-0.25,2.0,3.33360504911388,9.116688080550153,2.705837817083369,6060.318877713962,3.7175509305271945,2.4604220084400086,-0.3129601315843896,-0.6871851993032649,0.0013595150093628358,0.0006089696790500532,0.01017837798594532,0.008804778668291312,0.6871851993032649
39669,2844347,1,1.12,0.32,-0.3,1.9,2.442934280528458,5.142701362397731,2.664183385294663,6581.096468458365,4.088816481784886,1.5817776949427318,-0.6010141329041447,0.5704722883934323,0.0005073998237231514,0.0017771047624006164,0.009071488928653629,0.004535910137026148,0.5704722883934323
60973,2578751,1,1.15,0.28,0.5,2.3,2.2341176525747555,1.6212777816575155,8.333656290411287,5680.105230183058,4.47307617905968,1.0298062122418303,0.47496896015719303,0.205622103800863,0.00015408058441972468,0.002120600112588411,0.05723722564904767,0.05403156352702021,0.205622103800863
86632,4312169,2,1.19,0.28,0.35,2.1,6.099979313297435,6.029735459794878,6.042804348894628,5764.422665615306,4.184739224281177,1.459908560852368,0.28768329693525824,1.077757961335763,0.0008579079568209251,0.0006648840323604799,0.04052085260808695,0.035104425645793184,1.077757961335763
92742,5405293,2,1.08,0.28,-0.1,1.7,5.805833701604535,7.651429881430912,4.592661449734367,5874.470165791089,3.9603669190753967,1.798789940229967,-0.180010425332103,0.39657332140365753,0.0011737285417382265,0.0023273187999296448,0.014377341048509497,0.011958264344793851,0.39657332140365753
87802,5988964,2,1.16,0.3,0.0,2.3,3.7071563620761374,6.001856553259435,3.664257095680541,6324.11209530323,4.051679394922536,1.6798974446661885,-0.16219378169998636,-1.2084273784417832,0.00037286955959881863,0.0009548993266556004,0.0181,0.012459046111297029,1.2084273784417832
99758,2120530,1,1.09,0.24,0.1,2.3,3.9849609370501895,2.363355704188528,7.841014657030501,5867.02785936856,4.423049422067725,1.0620212695765094,0.04765568997107812,0.18994880251170798,0.0001588141847092433,0.0018806503168585509,0.02278654995347443,0.020199204442471648,0.18994880251170798
90581,6157981,2,0.81,0.3,0.1,1.7,19.304451012905066,9.268027787906446,16.099506457882914,4979.405654958039,3.969581657393917,1.5410335271249875,0.04453267110412538,-0.12249121356992987,0.0012423907383079006,0.000511904727334922,0.02278654995347443,0.02005447263434321,0.12249121356992987
93693,7261209,1,1.14,0.28,0.35,1.7,6.790158279608803,5.464715741146591,7.0585668729777495,5513.865960957438,4.1961779150399705,1.4102890855743178,0.27121981199594586,1.7476115520101985,0.00020774562913861348,0.0014783971958245436,0.04052085260808695,0.033798574745205416,1.7476115520101985
83934,5726590,2,1.12,0.32,0.35,2.1,5.5070658602164935,5.962611488798742,5.409744155173234,5927.5057666198645,4.15227833511982,1.4702209274283504,0.2822898281258765,-0.6008638284597083,0.00048255717949589335,0.00012882899796373692,0.04052085260808695,0.03467116246025674,0.6008638284597083
29176,873037,1,1.01,0.26,-0.1,2.1,0.2527076980759256,1.0612112228214468,7.354354735514917,5886.367780183273,4.516291570896837,0.9182471268839044,-0.10436926614747664,-0.24475896986339762,0.00022209939758464082,0.002684686974710477,0.014377341048509497,0.014233421442314747,0.24475896986339762
82623,481222,1,1.1,0.24,0.3,2.5,3.2387540882473846,1.7541933558910991,9.784451043366472,5608.3992664584275,4.502945174844312,0.9731245562318142,0.2708630101101546,-0.03466891648392334,0.00018101842574926868,0.002096785448085184,0.036114247900936716,0.03377081836499335,0.03466891648392334
38527,3801880,2,1.05,0.28,-0.4,1.9,5.375542786942196,9.670006787003533,3.959125870544439,5483.152715406003,3.676654265223956,2.4568776170993414,-0.4201773624847159,0.12653437409876744,0.0012286894255245304,0.00033072137636036564,0.0072057397870183,0.006878618325538788,0.12653437409876744
64304,5054916,2,1.19,0.24,-0.5,2.1,3.2359932212300686,5.687116193099001,3.1959601400390407,6775.080637963334,4.107490142537005,1.5952850429516332,-0.6630764390598439,0.5461611003650688,0.0005281763194270972,0.0026342557368204127,0.005723722564904768,0.003931897029707997,0.5461611003650688
20676,8140176,2,1.195,0.29,-0.25,2.2,3.2288235322022145,8.035274841312532,2.783772899157508,6431.655849020709,3.870768843020629,2.0987168719310207,-0.3455247953387477,-0.3433897004691815,0.0016341994078039926,0.0019665306314416986,0.01017837798594532,0.00816871566579127,0.3433897004691815
18383,861858,2,1.15,0.3,0.5,2.5,7.191005746227018,6.261872346009992,7.099866628265477,5823.17865548412,4.240116867711121,1.3465033411378393,0.4447094492489463,1.3466734285349276,0.0006836782184614486,0.00015472167599162034,0.05723722564904767,0.05039506667359441,1.3466734285349276
94703,3232731,2,1.18,0.28,-0.2,2.1,3.5606476974837213,6.999779877291269,3.238612479206277,6379.454293522347,3.965265761763169,1.870976182201808,-0.3430508456560787,-0.44377878781883595,0.001434013631852536,0.003705354971114627,0.011420327935091498,0.008215381377377953,0.44377878781883595
69601,6507028,2,1.13,0.32,-0.5,2.3,2.8860366142290026,9.571704945366026,2.2747203830090847,6434.3870649761475,3.7121467137913697,2.448589117480761,-0.5587176605480888,1.077763198671775,0.0014302919406225592,0.00045959660580136013,0.005723722564904768,0.0049998953484309255,1.077763198671775
37336,642909,2,1.0,0.24,-0.4,2.5,7.790828564228409,7.942890774778708,6.714637257341376,6106.3518535260255,4.046142134143585,1.5683286687954152,-0.5261732495711235,-0.09334768145504313,0.0009601732592079684,0.0017473781402264075,0.0072057397870183,0.0053889645325517965,0.09334768145504313
15623,8297910,2,1.075,0.29,0.25,2.4,8.727181509599445,8.651256066407672,6.405121989948963,5659.537974135034,4.0280499114066295,1.6599837382963878,0.21394339672050527,0.11027083959051254,0.0014365833835680221,0.0013113092747350508,0.0321868573217045,0.02962251796890046,0.11027083959051254
20543,6239217,2,1.11,0.28,0.4,1.9,10.733003286590634,9.71925914934534,7.5147851732895266,4726.060104259625,3.749364209376416,2.3243398580978325,0.3886933803652764,0.13721352234998108,0.000682599260736397,0.00024790477087305307,0.045465144410323406,0.044296759334106685,0.13721352234998108
9803,260868,2,0.99,0.28,0.45,2.5,16.52907424975248,9.26094894790915,12.870614335437727,5119.942032305941,4.040569755346699,1.5703098359359116,0.4132526960816496,-0.11164574771046887,0.0012618659432952072,0.00046091486053634334,0.05101273105588661,0.04687391961956355,0.11164574771046887
60808,4599891,2,0.8,0.32,-0.5,2.1,10.03449509912654,9.208483581014866,8.366957517326037,5752.695861454837,3.884219721947266,1.6891773112939144,-0.5738353443536058,-0.10838481937292244,0.0014686909824754425,0.0007591963252290834,0.005723722564904768,0.0048288446131931366,0.10838481937292244
59467,5949953,2,1.03,0.3,0.1,2.3,8.193187221055211,9.702424598937688,5.77169154025112,5172.4993655356075,3.744716946946221,2.2505446241568867,0.088402589200128,0.04623587788031358,0.0008261660977401874,0.0003063442846429898,0.02278654995347443,0.022186110110048018,0.04623587788031358
70183,4176980,1,1.0,0.3,-0.5,1.7,3.2236171340770565,4.051597564815392,3.9600939315785375,6453.402466377605,4.19857492918655,1.3172166513062329,-0.962159090360354,-0.7003436816979729,0.00022784948529761329,0.0016550413703078635,0.005723722564904768,0.001974783475568248,0.7003436816979729
18853,137762,2,1.16,0.28,0.4,1.7,7.131374170142566,5.947633861043162,7.186587317413398,5511.782118585035,4.165720942091318,1.4732887000398591,0.3287230546582739,1.2684265958605323,0.0007883272119372557,0.00048048769979303074,0.045465144410323406,0.03858350076040581,1.2684265958605323
88792,5623318,1,1.2,0.32,-0.5,1.9,1.6945579127184365,5.193832383007626,1.9172652875549832,7403.692631841014,4.148977437625726,1.5277299084539886,-0.727257664754924,1.6975151059650102,0.0008035121948678352,0.0017822056883972093,0.005723722564904768,0.003391727167691431,1.6975151059650102
98821,4320351,1,0.96,0.28,0.4,2.3,4.403421242212743,1.7456943751541116,13.987745508682362,5221.293702348282,4.540777378218691,0.8703453314906666,0.36670676476143743,-0.1459621915564071,0.00022141595280765963,0.0022435176551867386,0.045465144410323406,0.04211000952265978,0.1459621915564071
37394,7146029,2,1.07,0.26,0.1,2.3,9.390312775782323,9.035210196304503,7.096506591342534,5495.193133268305,3.96250020776684,1.7857212785435936,0.06960404670310394,-0.0908696759167853,0.001251325970994508,0.0005775815558762831,0.02278654995347443,0.021246266347146908,0.0908696759167853
87348,4557052,1,0.93,0.24,0.1,1.7,1.0070172458377036,1.1282951173852307,15.47356830686554,5091.652021658834,4.555753292608332,0.8419949847481735,0.09130940323933537,-0.26558344335492734,0.00018647942089265404,0.0021680901035830355,0.02278654995347443,0.022335103952173557,0.26558344335492734
579,3450966,2,1.08,0.24,0.45,1.7,16.830393972541682,9.108338531504826,13.267003759824982,4807.548821536874,3.999071458245669,1.7204197840616833,0.4079074090075991,-0.2104686752079914,0.0011293960352854206,0.0005645957270771772,0.05101273105588661,0.04630053229019089,0.2104686752079914
56022,367901,1,1.16,0.24,-0.2,2.1,2.9761550178014065,3.1158622577188715,4.247397443227876,6316.5484360169385,4.255129484870578,1.3292569169147768,-0.4646375019335874,0.6582473956879653,0.00013807899494554316,0.0012517160883264988,0.011420327935091498,0.006209277550308535,0.6582473956879653
35202,671484,1,1.14,0.32,-0.3,1.7,1.7189473617894808,3.4709011957489952,2.5282517224982093,6919.815110445189,4.2015139381123054,1.4016517814064569,-0.5871790322608299,-0.43422908165072727,0.0006398719368566882,0.003058518015740086,0.009071488928653629,0.004682734581956087,0.43422908165072727
